Got it! I will analyze the repository at [https://github.com/galacticcouncil/sdk/](https://github.com/galacticcouncil/sdk/) and extract all public methods within the `packages/sdk` directory. The output will include:

- Full method signatures (including class and method name)
- Parameter types and return types
- A concise explanation of what each method does, based on the method logic and code structure
- The results formatted as a Markdown table

I'll notify you once the analysis is complete.

**Public Methods of `@galacticcouncil/sdk`** (in `packages/sdk`):

| Method Signature | Description |
| `StableSwap.validatePair(tokenIn: string, tokenOut: string): boolean` | Checks if the given token pair can be traded in this StableSwap pool. (In a stable swap pool with N assets, any two distinct assets in the pool are swappable, so this returns true if both tokens are in the pool.) |
| `StableSwap.parsePair(tokenIn: string, tokenOut: string): PoolPair` | Prepares the `PoolPair` information for a swap between `tokenIn` and `tokenOut` in the stable pool. It fetches the current balances and metadata for those two assets from the pool and returns them in a `PoolPair` structure (along with common pool parameters like amplification factor if needed for calculations). |
| `StableSwap.validateAndBuy(poolPair: PoolPair, amountOut: BigNumber, fees: StableSwapFees): BuyTransfer` | Computes the required input to obtain `amountOut` in a stable swap pool. It uses the stable-swap invariant (e.g., Curve’s or Balancer’s stable swap formula with the amplification factor) to determine the necessary `assetIn` and then adds the protocol fee. Returns a `BuyTransfer` with the total `amountIn` needed and the fee breakdown. |
| `StableSwap.validateAndSell(poolPair: PoolPair, amountIn: BigNumber, fees: StableSwapFees): SellTransfer` | Computes the output for selling `amountIn` of one asset into another within the stable pool. It applies the stable swap pricing formula to find the `assetOut` amount, then subtracts the swap fee. The result is provided in a `SellTransfer` (including the fee and any notes on pool limits if applicable). |
| `StableSwap.calculateInGivenOut(poolPair: PoolPair, amountOut: BigNumber): BigNumber` | Uses the stable swap invariant formula to compute how much input is required for a given `amountOut`. This calculation takes into account the pool’s amplification factor and the balances of all assets in the pool (since stable swap pools maintain an invariant involving all reserves). Returns the BigNumber input amount needed. |
| `StableSwap.calculateOutGivenIn(poolPair: PoolPair, amountIn: BigNumber): BigNumber` | Calculates the output amount for a given input in the stable pool, using the pool’s invariant. It determines how the input trade will shift the balances and uses the AMP (amplification) factor to compute the resulting `assetOut` amount. The result is returned as a BigNumber. |
| `StableSwap.spotPriceInGivenOut(poolPair: PoolPair): BigNumber` | Returns the current marginal price of `assetIn` in terms of `assetOut` in the stable pool. This is derived from the derivative of the pool’s invariant at the current balance point – effectively reflecting how a tiny increase in `assetOut` would affect `assetIn`. |
| `StableSwap.spotPriceOutGivenIn(poolPair: PoolPair): BigNumber` | Returns the marginal price of `assetOut` in terms of `assetIn` for the stable pool (the reciprocal of the above spot price, under current pool conditions). |
| `StableSwap.calculateTradeFee(amount: BigNumber, fees: StableSwapFees): BigNumber` | Computes the swap fee for a trade of size `amount` in the stable pool. Typically, stable pools also charge a fixed percentage fee; this function applies that to the trade amount (the amplification doesn’t directly affect percentage fee calculation). Returns the fee amount as a BigNumber. |
| `XykMath.getSpotPrice(balanceA: string, balanceB: string, amount: string): string` | Computes the spot price given reserves `balanceA` and `balanceB` and a trade `amount`, via the XYK formula. (This likely multiplies `amount` by `balanceB/balanceA` – effectively price = amount * (B/A).) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20getSpotPrice)) It’s used to estimate price impact for a given trade amount in an XYK pool. |
| `XykMath.calculateInGivenOut(balanceIn: string, balanceOut: string, amountOut: string): string` | Constant-product formula to calculate the input required for a desired output. Based on reserves `balanceIn` (of input asset) and `balanceOut` (of output asset), it returns the input amount as a string. Internally, this likely uses `amountIn = ((balanceIn * amountOut) / (balanceOut - amountOut))` (the rearranged XYK invariant) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateInGivenOut)) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=return%20calculate_in_given_out)). |
| `XykMath.calculateOutGivenIn(balanceIn: string, balanceOut: string, amountIn: string): string` | Constant-product formula to calculate the output given a certain input. Using reserves `balanceIn` and `balanceOut`, it returns the output amount as a string, likely computed as `amountOut = (balanceOut * amountIn) / (balanceIn + amountIn)` ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateOutGivenIn)). |
| `XykMath.calculatePoolTradeFee(amount: string, feeNumerator: number, feeDenominator: number): string` | Calculates the fee to charge for a trade of size `amount` with a given fee rate (numerator/denominator). For example, for a fee rate of 3/1000, it will return `amount * 3/1000` as a string ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculatePoolTradeFee)). |
| `XykMath.calculateLiquidityIn(reserveA: string, reserveB: string, amountA: string): string` | Given adding `amountA` of asset A to the pool with reserves `reserveA` and `reserveB`, computes how much of asset B would be required to maintain the price (used when adding liquidity symmetrically, perhaps). Returns the required B amount as a string ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateLiquidityIn)) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=return%20calculate_liquidity_in)). |
| `XykMath.calculateSpotPrice(balanceA: string, balanceB: string): string` | Returns the spot price (ratio) of two reserves without trade amount (i.e., infinitesimal price). Essentially `balanceA / balanceB` (or vice versa, depending on convention) returned as string ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=)). |
| `XykMath.calculateSpotPriceWithFee(balanceA: string, balanceB: string, feeNumerator: string, feeDenominator: string): string` | Similar to `calculateSpotPrice`, but adjusts the price to include the pool’s fee. This effectively increases the price a trader pays by the fee percentage ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateSpotPriceWithFee)) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=%29%3A%20string%20)). |
| `XykMath.calculateShares(reserveA: string, amountA: string, totalShares: string): string` | Calculates how many liquidity shares to mint when adding `amountA` of asset A to a pool with reserve A and given `totalShares`. (In XYK pools, liquidity shares are proportional to the deposit relative to reserves.) Returns the new share amount as string ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateShares)). |
| `XykMath.calculateLiquidityOutAssetA(reserveA: string, reserveB: string, shares: string, totalShares: string): string` | Calculates the amount of asset A that would be withdrawn when redeeming a certain number of liquidity `shares` from a pool (with reserves A, B and `totalShares`). This uses the share of the pool represented by `shares` to compute asset A output ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=static%20calculateLiquidityOutAssetA)) ([sdk/packages/sdk/src/pool/xyk/XykMath.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/pool/xyk/XykMath.ts#:~:text=%29%3A%20string%20)). |
| `XykMath.calculateLiquidityOutAssetB(reserveA: string, reserveB: string, shares: string, totalShares: string): string` | Calculates the amount of asset B obtained when redeeming a given `shares` portion of the liquidity. Similar to the above, it returns the proportional amount of asset B reserves as a string. |
| `OmniMath.calculateInGivenOut(...)` | (Multiple functions in **OmniMath** class provide Omnipool-specific calculations, likely mirroring the XYK functions but adjusted for Omnipool’s pooled design. For example, functions to compute input/output considering the hub asset and possibly liquidity depth adjustments.) **Example:** Omnipool’s math would handle multi-hop conversions via the hub asset and may include a “price adjustment” factor to protect the pool. |
| `OmniMath.calculateOutGivenIn(...)` | (See above – computes output for a given input in Omnipool context, as a string. Relies on the Omnipool’s invariant, which differs from simple XYK since all assets share one pool.) |
| `OmniMath.calculateSpotPrice(...)\`, `OmniMath.calculateTradeFee(...), etc.` | (Provides spot price and fee calculations for Omnipool swaps. The spot price functions consider the marginal rate for swapping one asset to another through the hub, and the fee function might incorporate Omnipool’s dynamic fee model if one exists.) |
| `LbpMath.calculateInGivenOut(...)` | (Multiple functions in **LbpMath** for LBP pools, analogous to XYKMath but incorporating time-varying weights. For instance, calculating input for output takes into account the current relative weights of the two tokens.) These methods ensure that as the weights shift, the pricing reflects that change. |
| `LbpMath.calculateOutGivenIn(...)`, `LbpMath.calculateSpotPrice(...), etc.` | (LBP math functions to compute outputs, spot prices, and maybe weight adjustments. E.g., spot price will be a function of the current weight ratio times the XYK-like price.) All results are returned as strings representing the precise values under the LBP’s formula. |
| `StableMath.calculateInGivenOut(...)` | (Multiple functions in **StableMath** implementing the stable-swap invariant. For example, input for output requires solving the curve’s equation given the AMP factor.) These functions internally likely use iterative or analytical solutions provided by the underlying `math-stableswap` library to return amounts as strings. |
| `StableMath.calculateOutGivenIn(...)`, `StableMath.calculateSpotPrice(...), etc.` | (StableMath provides output, spot price, and possibly invariant calculation for stable pools. Spot price, for instance, would reflect the pool’s slippage at equilibrium – often near 1:1 for similar assets. All outputs are formatted as strings for consistency.) |
| `AssetClient.getOnChainAssets(includeInvalid?: boolean, external?: ExternalAsset[]): Promise<Asset[]>` | Fetches all asset metadata from the chain’s asset registry and returns them as an array of `Asset` objects. It pulls asset definitions, locations, and additional metadata (including special cases for liquidity pool shares and bonds) in parallel ([sdk/packages/sdk/src/client/AssetClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/AssetClient.ts#:~:text=const%20,)) ([sdk/packages/sdk/src/client/AssetClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/AssetClient.ts#:~:text=switch%20%28assetType.toString%28%29%29%20)). It filters out unsupported asset types and, unless `includeInvalid` is true, also filters out any assets with invalid metadata (e.g., missing symbols or negative decimals) ([sdk/packages/sdk/src/client/AssetClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/AssetClient.ts#:~:text=return%20includeInvalid)). External assets provided can be merged to augment the on-chain data. |
| `BalanceClient.getBalance(account: string, assetId: string): Promise<BigNumber>` | Retrieves the balance of a given asset for the specified account. It determines the asset type from the asset registry and queries the appropriate pallet (system account for native tokens, or asset pallet for others) to get the free balance ([sdk/packages/sdk/src/client/BalanceClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/BalanceClient.ts#:~:text=async%20getBalance,BigNumber%3E)). Returns the balance as a BigNumber (typically representing the base unit amount). |
| `BalanceClient.subscribeSystemBalance(address: string): UnsubscribePromise` | Subscribes to the native token balance of an `address`. It listens to the chain’s `system.account` storage for the free balance, invoking a callback on changes ([sdk/packages/sdk/src/client/BalanceClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/BalanceClient.ts#:~:text=async%20subscribeSystemBalance)). Returns an `UnsubscribePromise` which can be called to cancel the subscription. |
| `BalanceClient.subscribeTokenBalance(address: string): UnsubscribePromise` | Subscribes to all non-native, non-ERC20 asset balances of the given address. It filters the asset list to supported assets (excluding ERC20 tokens) and monitors their balances (likely via the assets pallet or ORML tokens), triggering updates on any change ([sdk/packages/sdk/src/client/BalanceClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/BalanceClient.ts#:~:text=async%20subscribeTokenBalance)). Returns an unsubscribe handle to stop the updates. |
| `BalanceClient.subscribeErc20Balance(address: string): UnsubscribePromise` | Subscribes to all ERC-20 asset balances for the address. Because ERC-20 assets might not have a pallet event for balance changes, this uses a block subscription (`chain.subscribeNewHeads`) and periodically checks ERC-20 token balances ([sdk/packages/sdk/src/client/BalanceClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/BalanceClient.ts#:~:text=async%20subscribeErc20Balance)). The returned `UnsubscribePromise` cancels the subscription. |
| `FarmClient.getFarmApr(id: string, type: 'omnipool' \| 'isolatedpool'): Promise<string>` | Calculates the total APR (Annual Percentage Rate) from liquidity mining (“farm”) programs for a given pool. The `id` can be an Omnipool asset ID or an isolated pool’s address, with `type` indicating which. It fetches the relevant global farm and yield farm data on chain, computes each yield farm’s APR, and sums them up. If the pool is isolated (two-sided), the result is divided by 2 (since APR is split between two assets) ([sdk/packages/sdk/src/client/FarmClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/FarmClient.ts#:~:text=%3A%20apr,times%28100)). Returns the sum of APRs as a string (percentage). |
| `FarmClient.getOraclePrice(globalFarm: PalletLiquidityMiningGlobalFarmData): Promise<BigNumber \| undefined>` | **(Advanced)** Fetches an oracle price used in yield farming reward calculation. Given a global farm’s data, this checks an EMA (exponential moving average) price oracle for the farm’s reward currency vs. the Omnipool’s hub asset ([sdk/packages/sdk/src/client/FarmClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/FarmClient.ts#:~:text=await%20this)) ([sdk/packages/sdk/src/client/FarmClient.ts at master · galacticcouncil/sdk · GitHub](https://github.com/galacticcouncil/sdk/blob/master/packages/sdk/src/client/FarmClient.ts#:~:text=match%20at%20L889%20%28await%20this,)). If an oracle value exists, it returns it as a BigNumber; if not, it returns `undefined` and falls back to using the farm’s internal `priceAdjustment`. (This is used internally to help compute accurate APRs.) |

